"theme_title","theme_package","theme_template","preview_image","is_active"
"Unlimited Default","codazon_unlimited","default","codazon_unlimited_default.jpg","1"
"Unlimited Fashion Accessories","codazon_unlimited","fashion_accessories","codazon_unlimited_fashion_accessories.jpg","1"
"Unlimited Electronic","codazon_unlimited","electronic","codazon_unlimited_electronic.jpg","0"
"Unlimited Fashion","codazon_unlimited","fashion","codazon_unlimited_fashion.jpg","1"
"Unlimited Supermarket","codazon_unlimited","supermarket","codazon_unlimited_supermarket.jpg","0"
"Unlimited Sport","codazon_unlimited","sport","codazon_unlimited_sport.jpg","1"
"Unlimited Fashion Megastore","codazon_unlimited","fashion_megastore","codazon_unlimited_fashion_megastore.jpg","1"
"Unlimited Furniture","codazon_unlimited","furniture","codazon_unlimited_furniture.jpg","1"
"Unlimited Drug Pharmacy","codazon_unlimited","drug_pharmacy","codazon_unlimited_drug_pharmacy.jpg","1"
"Unlimited Food & Drink","codazon_unlimited","food_drink","codazon_unlimited_food_drink.jpg","1"
"Unlimited Baby Kids","codazon_unlimited","baby_kids","codazon_unlimited_baby_kids.jpg","1"
