"In stock", "Auf Lager"
"Out of stock", "Ausverkauft"
"and", "und"
"save", "sparen"
"Coupon code was canceled.", "Gutscheincode wurde storniert."
"The requested quantity is not available", "Die gewünschte Menge ist nicht verfügbar"
"The requested quantity of ", "Die angeforderte Menge von "
" is not available", " ist nicht verfügbar"
"Unable to add product to cart.", "Produkt konnte nicht in den Warenkorb gelegt werden."
"Can't add the item to shopping cart.", "Der Artikel kann nicht zum Warenkorb hinzugefügt werden."
"Customer Address is not valid.", "Kundenadresse ist nicht gültig."
"This email already exist.", ""
"Invalid Billing data.", "Diese E-Mail existiert bereits."
"Invalid shipping method.", "Ungültige Versandart."
"Invalid Shipping data.", "Ungültige Versanddaten."
"Guest Checkout is not Enabled", "Guest Checkout ist nicht aktiviert"
"This account is not confirmed.", "Dieses Konto wird nicht bestätigt."
"Invalid login or password.", "Ungültiger Anmeldename oder Passwort."
"Invalid email address.", "Ungültige E-Mail-Adresse."
"There is already an account with this email address.", "Es gibt bereits ein Konto mit dieser E-Mail-Adresse."
"Your Account has been successfully created", "Ihr Konto wurde erfolgreich erstellt"
"Please enter your email.", "Bitte geben Sie ihre E-Mail-Adresse ein."
"Invalid current password", "Ungültiges aktuelles Kennwort"
"The account information has been saved.", "Die Kontoinformationen wurden gespeichert."
"You are currently subscribed to 'General Subscription'.", "Sie sind derzeit bei 'General Subscription' abonniert."
"You are currently not subscribed to any newsletter.", "Sie sind derzeit kein Newsletter abonniert."
"You have not set a default billing address.", "Sie haben keine Standard-Rechnungsadresse festgelegt."
"You have not set a default shipping address.", "Sie haben keine Standardversandadresse angegeben."
"You have no additional address.", "Sie haben keine zusätzliche Adresse."
"Can't delete item from wishlist", "Artikel kann nicht aus der Wunschliste entfernt werden"
"Can't update wishlist", "Wunschliste kann nicht aktualisiert werden"
"Wishlist updated successfully", "Wunschliste wurde aktualisiert"
"Sorry This Order Does not Exist!!", "Dieser Auftrag existiert nicht!"
"Unlimited", "Unbegrenzt"
"Requested link does not exist.", "Angeforderter Link existiert nicht."
"An error occurred while getting the requested content. Please contact the store owner.", "Beim Abrufen des angeforderten Inhalts ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Händler."
"The link has expired.", "Der Link ist abgelaufen."
"No shipping information available", "Keine Versandinformationen verfügbar"
"Subtotal", "Zwischensumme"
"Shipping & Handling", "Versand & Bearbeitung"
"Discount", "Rabatt"
"Tax", "Steuer"
"Grand Total", "Gesamtsumme"
"Grand Total to be Charged", "Gesamtsumme zu laden"
"Product(s) Has been Added to cart.", "Produkt wurde in den Warenkorb gelegt."
"Following Products", "Folgende Produkte"
"can't be added to cart as they are Out Of Stock", "Kann nicht zum Warenkorb hinzugefügt werden, da sie nicht auf Lager sind"
"Can't add the item to shopping cart.", "Der Artikel kann nicht zum Warenkorb hinzugefügt werden."
"Your review has been accepted for moderation.", "Ihre Bewertung wurde zur Bearbeitung angenommen."
"The subscription has been saved.", "Das Abonnement wurde gespeichert."
"The subscription has been removed.", "Das Abonnement wurde entfernt."
"An error occurred while deleting the item from wishlist.", "Beim Löschen des Elements aus der Wunschliste ist ein Fehler aufgetreten."
"Item successfully deleted from wishlist.", "Element erfolgreich gelöscht aus Wunschliste."
"The address has been saved.", "Die Adresse wurde gespeichert."
"The address has been deleted.", "Die Adresse wurde gelöscht."
"Please enter a valid email address.", "Bitte geben Sie eine gültige E-Mail-Adresse ein."
"Sorry, but administrator denied subscription for guests.", "Sorry, aber Administrator verweigert Abonnement für die Gäste."
"This email address is already assigned to another user.", "Diese E-Mail-Adresse ist bereits einem anderen Benutzer zugewiesen."
"Confirmation request has been sent.", "Bestätigungsanforderung wurde gesendet."
"Thank you for your subscription.", "Vielen Dank für Ihr Abonnement."
"Session Id Expired", "Sitzungs-ID abgelaufen"
"Invalid Request", "ungültige Anfrage"
"successfully generated hash","erfolgreich generierter Hash"
"Order Status Changed!!","Bestellstatus geändert !!"
"pending","pending"
"expired","expired"
"cancel","cancel"
"Are you sure you want to send order email to customer?","Are you sure you want to send order email to customer?"
"Create Invoice","Create Invoice"
"Are you sure you want to create invoice?","Are you sure you want to create invoice?"
"You are now Loggedin","You are now Loggedin"
