"Customers Also Viewed","Customers Also Viewed"
"Up-Sells","Up-Sells"
"Maximum Products Count","Maximum Products Count"
"Manually Added Products","Manually Added Products"
"Show In Stock Products Only","Show In Stock Products Only"
"Products From The Same Category","Products From The Same Category"
"Cross-Sells","Cross-Sells"
"Related Products","Related Products"
"Enabled","Enabled"
"Any","Any"
"Only","Only"
"Exclude From Result","Exclude From Result"
"General","General"
"Period","Period"
"In days.","In days."
"Query Limit","Query Limit"
"Limit of records in query for period.","Limit of records in query for period."
"Exclude Products by Category","Exclude Products by Category"
"Comma separated IDs of Categories.","Comma separated IDs of Categories."
"Replace Manually Added Products","Replace Manually Added Products"
"Display Manually Added Products Only","Display Manually Added Products Only"
"Append to Manually Added Products","Append to Manually Added Products"
"Product currently viewed","Product currently viewed"
"Show Related Products Only for Out of Stock","Show Related Products Only for Out of Stock"
"Show Up-Sells Only for Out of Stock","Show Up-Sells Only for Out of Stock"
