"In stock", "Disponibile"
"Out of stock", "Esaurito"
"and", "e"
"save", "salvare"
"Coupon code was canceled.", "Le ultime notizie è stato annullato."
"The requested quantity is not available", "La quantità richiesta non è disponibile"
"The requested quantity of ", "La quantità richiesta di "
" is not available", " non è disponibile"
"Unable to add product to cart.", "Impossibile aggiungere il prodotto al carrello."
"Can't add the item to shopping cart.", "Impossibile aggiungere l'elemento al carrello."
"Customer Address is not valid.", "Indirizzo cliente non è valido."
"This email already exist.", "Questa email esiste già."
"Invalid Billing data.", "i dati di fatturazione validi."
"Invalid shipping method.", "metodo di spedizione non valido."
"Invalid Shipping data.", "i dati di spedizione non validi."
"Guest Checkout is not Enabled", "Guest Checkout non è abilitato"
"This account is not confirmed.", "Questo account non è confermato."
"Invalid login or password.", "login o password non validi."
"Invalid email address.", "Indirizzo email non valido."
"There is already an account with this email address.", "C'è già un account con questo indirizzo email."
"Your Account has been successfully created", "Il tuo account è stato creato con successo"
"Please enter your email.", "Per favore inserisci la tua mail."
"Invalid current password", "Invalid password corrente"
"The account information has been saved.", "Le informazioni di account è stato salvato."
"You are currently subscribed to 'General Subscription'.", "Sei iscritto a 'Generale abbonamento'."
"You are currently not subscribed to any newsletter.", "Attualmente non sei iscritto a ogni newsletter."
"You have not set a default billing address.", "Non è stato impostato un indirizzo predefinito di fatturazione."
"You have not set a default shipping address.", "Non è stato impostato un indirizzo di spedizione predefinito."
"You have no additional address.", "Non avete altro indirizzo."
"Can't delete item from wishlist", "Non è possibile eliminare l'elemento da lista dei desideri"
"Can't update wishlist", "Impossibile aggiornare lista dei desideri"
"Wishlist updated successfully", "Lista aggiornata correttamente"
"Sorry This Order Does not Exist!!", "Spiacenti Questo Ordine non esiste !!"
"Unlimited", "Illimitato"
"Requested link does not exist.", "Link richiesto non esiste."
"An error occurred while getting the requested content. Please contact the store owner.", "Si è verificato un errore durante il recupero il contenuto richiesto. Si prega di contattare il proprietario del negozio."
"The link has expired.", "Il link è scaduto."
"No shipping information available", "Nessuna informazione di spedizione disponibile"
"Subtotal", "totale parziale"
"Shipping & Handling", "Spedizione & trattare"
"Discount", "Sconto"
"Tax", "Imposta"
"Grand Total", "Somma totale"
"Grand Total to be Charged", "Totale complessivo da riscuotere"
"Product(s) Has been Added to cart.", "Prodotto (s) è stato aggiunto al carrello."
"Following Products", "i seguenti prodotti"
"can't be added to cart as they are Out Of Stock", "Non può essere aggiunto al carrello in quanto sono esauriti"
"Can't add the item to shopping cart.", "Impossibile aggiungere l'elemento al carrello."
"Your review has been accepted for moderation.", "Il tuo commento è stato accettato per la moderazione."
"The subscription has been saved.", "L'abbonamento è stato salvato."
"The subscription has been removed.", "La sottoscrizione è stata rimossa."
"An error occurred while deleting the item from wishlist.", "Si è verificato un errore durante l'eliminazione della voce dalla lista desideri."
"Item successfully deleted from wishlist.", "Articolo cancellato con successo dalla lista dei preferiti."
"The address has been saved.", "L'indirizzo è stato salvato."
"The address has been deleted.", "L'indirizzo è stato eliminato."
"Please enter a valid email address.", "Si prega di inserire un indirizzo email valido."
"Sorry, but administrator denied subscription for guests.", "Ci dispiace, ma l'amministratore ha negato di sottoscrizione per gli ospiti."
"This email address is already assigned to another user.", "Questo indirizzo e-mail è già assegnato a un altro utente."
"Confirmation request has been sent.", "richiesta di conferma è stata inviata."
"Thank you for your subscription.", "Grazie per la sottoscrizione."
"Session Id Expired", "ID di sessione scaduta"
"Invalid Request", "Richiesta non valida"
"successfully generated hash","hash generato con successo"
"Order Status Changed!!","Stato dell'ordine cambiato !!"
"pending","pending"
"expired","expired"
"cancel","cancel"
"Are you sure you want to send order email to customer?","Are you sure you want to send order email to customer?"
"Create Invoice","Create Invoice"
"Are you sure you want to create invoice?","Are you sure you want to create invoice?"
"You are now Loggedin","You are now Loggedin"
